audit_version,input_file,input_sha256,input_row,source_id,text_sha256,normalized_text,word_index,source_word,normalized_word,piece_text,token_start,token_end,token_count,token_ids,tone_id,tone_name,is_valid,status,all_caps_context,exact_bpe_match,alignment_error
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,0,PHÍA,phía,phía,0,2,2,"[950,2686]",1,sac,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,1,DƯỚI,dưới, dưới,2,5,3,"[274,5829,8971]",1,sac,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,2,VÀ,và, và,5,6,1,[10274],2,huyen,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,3,XUNG,xung, xung,6,8,2,"[2031,1063]",0,ngang,true,all_caps_unmarked_or_acronym_candidate,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,4,QUANH,quanh, quanh,8,10,2,"[19068,71]",0,ngang,true,all_caps_unmarked_or_acronym_candidate,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,5,KỆ,kệ, kệ,10,12,2,"[350,8471]",5,nang,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,6,LÀ,là, là,12,13,1,[3684],2,huyen,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,7,NƯỚC,nước, nước,13,14,1,[30728],1,sac,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,8,BẨN,bẩn, bẩn,14,17,3,"[272,35068,77]",3,hoi,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,9,LÊNH,lênh, lênh,17,19,2,"[33368,71]",0,ngang,true,unmarked_or_foreign_candidate,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,10,LÁNG,láng, láng,19,21,2,"[7453,872]",1,sac,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,11,CHẢY,chảy, chảy,21,24,3,"[417,7398,88]",3,hoi,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,2,VIVOSDEV16_266_clean,bc5174adf71a185ef0e46a781a57728e39e7fdab25020b7d2abf7869e9a07df8,phía dưới và xung quanh kệ là nước bẩn lênh láng chảy qua,12,QUA,qua, qua,24,25,1,[24159],0,ngang,true,all_caps_unmarked_or_acronym_candidate,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,0,TỚ,tớ,tớ,0,2,2,"[83,27260]",1,sac,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,1,ĐI,đi, đi,2,3,1,[13264],0,ngang,true,unmarked_or_foreign_candidate,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,2,KIẾM,kiếm, kiếm,3,6,3,"[6315,6115,76]",1,sac,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,3,NHÀ,nhà, nhà,6,7,1,[35398],2,huyen,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,4,TRỌ,trọ, trọ,7,10,3,"[220,6903,12935]",5,nang,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,5,RỒI,rồi, rồi,10,11,1,[19908],2,huyen,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,6,NHƯNG,nhưng, nhưng,11,12,1,[37504],0,ngang,true,unmarked_or_foreign_candidate,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,7,KHÓ,khó, khó,12,14,2,"[7168,812]",1,sac,true,marked_tone,true,true,
tone_alignment_v1,outputs/phat/predictions/pred_lora_ordinary_lambda0.csv,6d311fd899bd8dd229b77d7407708abd83a247c842b3e82776c0d9c1c5957914,7,VIVOSDEV12_076_clean,a3e4b5b74063412d628ac2890b7606dbecfb1be78e26076ad357417403d3e9dc,tớ đi kiếm nhà trọ rồi nhưng khó quá,8,QUÁ,quá, quá,14,15,1,[38338],1,sac,true,marked_tone,true,true,
