metric_version,dataset,model,model_size,train_type,lambda,seed,utt_id,snr,noise_type,operation,ref_token,hyp_token,ref_index,hyp_index,ref_tone,hyp_tone,ref_tone_base,hyp_tone_base,ref_plain_base,hyp_plain_base,tone_error,diacritic_error,tone_primary_category,der_primary_category,quality_transitions,has_tone_loss,has_vowel_quality_loss,has_d_stroke_loss,missing_diacritic,ref,hyp
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R002_clean,clean,clean,deletion,cạch,,2,,nang,,cach,,cach,,true,false,word_deletion,,,false,false,false,false,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT,tiếng cọc cận lại của những khớp sắt
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R002_snr0,0,speech,substitution,cọc,cộc,1,1,nang,nang,coc,côc,coc,coc,false,true,,vowel_quality_addition,o→ô,false,false,false,false,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT,tiếng cộc cật khuẩn lại của ổ nhẫn khớp sắt
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R002_snr10,10,speech,deletion,cạch,,2,,nang,,cach,,cach,,true,false,word_deletion,,,false,false,false,false,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT,tiếng cọc cực lại có hổ nhẫn cóp sắt
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R002_snr20,20,music,substitution,cọc,cộc,1,1,nang,nang,coc,côc,coc,coc,false,true,,vowel_quality_addition,o→ô,false,false,false,false,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT,tiếng cộc cực khuẩn lại có những khớp sắt
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_clean,clean,clean,substitution,phỗng,phỏng,4,4,nga,hoi,phông,phong,phong,phong,false,true,,vowel_quality_loss,ô→o,false,true,false,true,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phỏng ông và hai phỏng bò được làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_clean,clean,clean,substitution,phỗng,phỏng,8,8,nga,hoi,phông,phong,phong,phong,false,true,,vowel_quality_loss,ô→o,false,true,false,true,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phỏng ông và hai phỏng bò được làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_snr0,0,noise,substitution,phỗng,phỏng,4,4,nga,hoi,phông,phong,phong,phong,false,true,,vowel_quality_loss,ô→o,false,true,false,true,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phỏng ông và hai phỏng bò lược làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_snr0,0,noise,substitution,phỗng,phỏng,8,8,nga,hoi,phông,phong,phong,phong,false,true,,vowel_quality_loss,ô→o,false,true,false,true,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phỏng ông và hai phỏng bò lược làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_snr10,10,music,substitution,phỗng,phỏng,4,4,nga,hoi,phông,phong,phong,phong,false,true,,vowel_quality_loss,ô→o,false,true,false,true,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phỏng ông và hai phỏng bò được làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_snr10,10,music,substitution,phỗng,phỏng,8,8,nga,hoi,phông,phong,phong,phong,false,true,,vowel_quality_loss,ô→o,false,true,false,true,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phỏng ông và hai phỏng bò được làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_snr20,20,music,substitution,phỗng,phổng,4,4,nga,hoi,phông,phông,phong,phong,true,false,tone_substitution,,,false,false,false,false,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phổng ông và hai phổng bà được làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_snr20,20,music,substitution,phỗng,phổng,8,8,nga,hoi,phông,phông,phong,phong,true,false,tone_substitution,,,false,false,false,false,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phổng ông và hai phổng bà được làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_snr5,5,noise,substitution,phỗng,phổng,4,4,nga,hoi,phông,phông,phong,phong,true,false,tone_substitution,,,false,false,false,false,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phổng ông và hai phổng bà được làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R027_snr5,5,noise,substitution,phỗng,phổng,8,8,nga,hoi,phông,phông,phong,phong,true,false,tone_substitution,,,false,false,false,false,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT,di tích có bảy phổng ông và hai phổng bà được làm bằng gỗ mít
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R028_snr0,0,noise,substitution,sợ,sở,13,13,nang,hoi,sơ,sơ,so,so,true,false,tone_substitution,,,false,false,false,false,CÁC CHÚ CŨNG THOẢI MÁI PHÓNG UẾ GIỮA CHỐN ĐÔNG NGƯỜI MÀ KHÔNG SỢ,rắc chúa cũng thoải mái cống thế giữa chốn đông người mà công sở
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R044_snr5,5,speech,substitution,động,đổng,3,5,nang,hoi,đông,đông,dong,dong,true,false,tone_substitution,,,false,false,false,false,NGỌN LỬA BẠO ĐỘNG Ở TRUNG ĐÔNG VÀ PHÁ VỠ LỘ TRÌNH HÒA BÌNH,thực thiết ngọn lửa bọ đổng ở trung đông và phá vỡ loại trình quà bình
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R069_snr0,0,music,deletion,đèn,,0,,huyen,,đen,,den,,true,false,word_deletion,,,false,false,false,false,ĐÈN BỊ HƯ RỒI BA,vẻ hư ngọt bạt
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R151_snr10,10,noise,substitution,vịnh,vĩnh,5,5,nang,nga,vinh,vinh,vinh,vinh,true,false,tone_substitution,,,false,false,false,false,NHƯNG KHI TIẾN GẦN VÀO VỊNH THÌ MẶT BIỂN BỊ RẠN VỠ,nhưng khi tiếng rừng vào vĩnh thì mặt biển bị rạn vỡ
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R151_snr5,5,noise,substitution,vịnh,vĩnh,5,5,nang,nga,vinh,vinh,vinh,vinh,true,false,tone_substitution,,,false,false,false,false,NHƯNG KHI TIẾN GẦN VÀO VỊNH THÌ MẶT BIỂN BỊ RẠN VỠ,nhưng khi tiếng rừng vào vĩnh hiền bị mặc biển bị rạn vỡ
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R174_snr0,0,speech,deletion,biến,,6,,sac,,biên,,bien,,true,false,word_deletion,,,false,false,false,false,NHỮNG DỰ ĐỊNH CẦN PHẢI ĐƯỢC BIẾN THÀNH HIỆN THỰC,hoặc khám giữ đánh cần phải được truyền thống
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R174_snr0,0,speech,deletion,thành,,7,,huyen,,thanh,,thanh,,true,false,word_deletion,,,false,false,false,false,NHỮNG DỰ ĐỊNH CẦN PHẢI ĐƯỢC BIẾN THÀNH HIỆN THỰC,hoặc khám giữ đánh cần phải được truyền thống
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV01_R180_snr0,0,music,substitution,mềm,mèm,5,5,huyen,huyen,mêm,mem,mem,mem,false,true,,vowel_quality_loss,ê→e,false,true,false,true,BÀN CHỔI SƠN BẰNG BÔNG MỀM RẤT PHỔ BIẾN,bàn chổi sơn bằng vông mèm rước khổ biến
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R009_snr0,0,noise,substitution,quảng,quãng,1,1,hoi,nga,quang,quang,quang,quang,true,false,tone_substitution,,,false,false,false,false,BÀ QUẢNG VẪN ĐANG BẬN RỘN,và quãng vướng vướng vướng rộn
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R031_snr0,0,speech,substitution,bó,bỏ,8,8,sac,hoi,bo,bo,bo,bo,true,false,tone_substitution,,,false,false,false,false,MUỐN ĐẸP PHẢI GHÈ LÀM SAO CHO CÁC BÓ CƠ CHÂN NỔI BẬT LÊN,bố mẹ phải kèm lá cháo cho thắt bỏ cởi chạc nổi lên trí oan
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R031_snr0,0,speech,deletion,bật,,12,,nang,,bât,,bat,,true,false,word_deletion,,,false,false,false,false,MUỐN ĐẸP PHẢI GHÈ LÀM SAO CHO CÁC BÓ CƠ CHÂN NỔI BẬT LÊN,bố mẹ phải kèm lá cháo cho thắt bỏ cởi chạc nổi lên trí oan
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_clean,clean,clean,substitution,cô,cơ,0,0,ngang,ngang,cô,cơ,co,co,false,true,,vowel_quality_substitution,ô→ơ,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhè cái nóng cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_clean,clean,clean,deletion,ngay,,3,,ngang,,ngay,,ngay,,true,false,word_deletion,,,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhè cái nóng cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_clean,clean,clean,substitution,nọng,nóng,5,4,nang,sac,nong,nong,nong,nong,true,false,tone_substitution,,,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhè cái nóng cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr0,0,music,substitution,cô,cơ,0,0,ngang,ngang,cô,cơ,co,co,false,true,,vowel_quality_substitution,ô→ơ,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứa nhà cái ngọt cái chơi
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr0,0,music,deletion,cứ,,1,,sac,,cư,,cu,,true,false,word_deletion,,,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứa nhà cái ngọt cái chơi
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr10,10,noise,substitution,cô,cơ,0,0,ngang,ngang,cô,cơ,co,co,false,true,,vowel_quality_substitution,ô→ơ,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhà cái nọc cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr10,10,noise,deletion,nhè,,2,,huyen,,nhe,,nhe,,true,false,word_deletion,,,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhà cái nọc cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr20,20,noise,substitution,cô,cơ,0,0,ngang,ngang,cô,cơ,co,co,false,true,,vowel_quality_substitution,ô→ơ,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhè cái nóng cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr20,20,noise,deletion,ngay,,3,,ngang,,ngay,,ngay,,true,false,word_deletion,,,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhè cái nóng cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr20,20,noise,substitution,nọng,nóng,5,4,nang,sac,nong,nong,nong,nong,true,false,tone_substitution,,,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhè cái nóng cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr5,5,speech,substitution,cô,cơ,0,0,ngang,ngang,cô,cơ,co,co,false,true,,vowel_quality_substitution,ô→ơ,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhà cái thằng cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R045_snr5,5,speech,deletion,nhè,,2,,huyen,,nhe,,nhe,,true,false,word_deletion,,,false,false,false,false,CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ,cơ cứ nhà cái thằng cái chê
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R067_snr0,0,speech,substitution,bố,bớ,4,4,sac,sac,bô,bơ,bo,bo,false,true,,vowel_quality_substitution,ô→ơ,false,false,false,false,ÔNG CHỦ TỊCH TUYÊN BỐ NHƯ THẾ NÀO,ông chủ tịch tuy bớ như thế nào
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV02_R067_snr5,5,noise,substitution,bố,bó,4,4,sac,sac,bô,bo,bo,bo,false,true,,vowel_quality_loss,ô→o,false,true,false,true,ÔNG CHỦ TỊCH TUYÊN BỐ NHƯ THẾ NÀO,ông chủ tịch đem bó như thế nào
