metric_version,dataset,model,model_size,train_type,lambda,seed,utt_id,snr,noise_type,operation,ref_token,hyp_token,ref_index,hyp_index,ref_tone,hyp_tone,ref_tone_base,hyp_tone_base,ref_plain_base,hyp_plain_base,tone_error,diacritic_error,tone_primary_category,der_primary_category,quality_transitions,has_tone_loss,has_vowel_quality_loss,has_d_stroke_loss,missing_diacritic,ref,hyp
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,1015279164912843543,clean,clean,deletion,hộ,,33,,nang,,hô,,ho,,true,false,word_deletion,,,false,false,false,false,châu âu là lục địa tương đối nhỏ nhưng có nhiều quốc gia độc lập thông thường việc đi qua nhiều quốc gia đồng nghĩa với việc phải xin thị thực và xét hộ chiếu nhiều lần,châu âu là lục địa tương đối nhỏ nhưng có nhiều quốc gia độc lập thông thường việc đi qua nhiều quốc gia đồng nghĩa với việc phải xin thị thực và xét hỏi nhiều lần
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,1015563747297542961,clean,clean,substitution,mọi,mỗi,0,0,nang,nga,moi,môi,moi,moi,false,true,,vowel_quality_addition,o→ô,false,false,false,false,mọi danh từ kế bên từ sie dành cho bạn luôn bắt đầu bằng một chữ viết hoa ngay cả khi ở giữa câu,mỗi danh từ kế bên từ xy dành cho bạn luôn bắt đầu bằng một chữ vết hoa ngay cả khi ở giữa câu
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10169179696365895477,clean,clean,substitution,hiên,hiện,27,32,ngang,nang,hiên,hiên,hien,hien,true,false,tone_addition,,,false,false,false,false,thông báo thông thường trong khu metro chỉ được phát bằng tiếng catalunya tuy nhiên với những sự cố bất ngờ thì thông báo sẽ được thực hiên qua hệ thống tự động bằng nhiều thứ tiếng gồm tiếng tây ban nha tiếng anh tiếng pháp tiếng ả rập và tiếng nhật,thông báo thông thường trong khu mê trô chỉ được phát bằng tiếng ca ta liu ni a tuy nhiên với những sự cố bất ngờ thì thông báo sẽ được thực hiện qua hệ thống tự động từng nhiều thứ tiếng dồn tướng tây ban nha tiếng anh tiếng pháp tiếng ả rập và tiếng nhật
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10188670312101823236,clean,clean,substitution,biên,biến,11,11,ngang,sac,biên,biên,bien,bien,true,false,tone_addition,,,false,false,false,false,hồ sơ theo vụ rò rỉ sẽ nhắc tới xung đột biên giới điều palestine muốn dựa trên đường biên giới trước cuộc chiến tranh trung đông 1967,hồ sơ theo dù gồ rỉ sẽ nhắc tới xung đột biến giới đều bayern munichiu múa dựa trên đường biến giới chứa cổ chiến tranh trung đông một nghìn chín trăm sám bảy
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10188670312101823236,clean,clean,substitution,biên,biến,19,20,ngang,sac,biên,biên,bien,bien,true,false,tone_addition,,,false,false,false,false,hồ sơ theo vụ rò rỉ sẽ nhắc tới xung đột biên giới điều palestine muốn dựa trên đường biên giới trước cuộc chiến tranh trung đông 1967,hồ sơ theo dù gồ rỉ sẽ nhắc tới xung đột biến giới đều bayern munichiu múa dựa trên đường biến giới chứa cổ chiến tranh trung đông một nghìn chín trăm sám bảy
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,1020360004532126324,clean,clean,substitution,cổ,cố,2,2,hoi,sac,cô,cô,co,co,true,false,tone_substitution,,,false,false,false,false,trung hoa cổ đại có một cách thức độc đáo để trình bày những niên đại khác nhau mỗi một giai đoạn của trung hoa hoặc mỗi một gia tộc từng nắm giữ quyền lực tương ứng với một triều đại khác nhau,trung hoa cố đại có một cách thức độc đáo để trình bày những nguyên đại khác nhau mỗi mùa giai đoạn của trung hoa hoặc mỗi một giai đoạn từng nắm vào quyền lực tương ứng với môi trường đại khác nhau
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10259532564282505455,clean,clean,substitution,khóa,khoa,2,2,sac,ngang,khoa,khoa,khoa,khoa,true,false,tone_loss,,,true,false,false,true,tìm kiếm khóa học về môi trường thù địch trên internet có thể sẽ cung cấp cho bạn địa chỉ của một công ty địa phương,tìm kiếm khoa học về môi trường thù địch trên internet có thể sẽ cung cấp cho bạn địa chỉ của một công ty địa phương
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10402105561395439139,clean,clean,substitution,loài,loại,4,4,huyen,nang,loai,loai,loai,loai,true,false,tone_substitution,,,false,false,false,false,cuối cùng có nhiều loài mèo nhỏ gồm cả mèo nuôi trong nhà ăn những con mồi nhỏ có số lượng lớn như côn trùng các loài gặm nhấm thằn lằn và chim,cuối cùng có nhiều loại mèo nhỏ gồm cả mèo nuôi trong nhà ăn những con màu nhỏ có số lượng lớn như công trùng các loài gặm nhấm thằn lằn và chim
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10453290072265880595,clean,clean,deletion,của,,8,,hoi,,cua,,cua,,true,false,word_deletion,,,false,false,false,false,trong bài viết diễn văn của tổng thống của mình oliver sacks chỉ ra làm thế nào những người không thể hiểu bài diễn văn vì bị tổn thương não lại có thể đánh giá chính xác sự trung thực,trâm bài viết diễn văn của tổng thống mình oliver sắt chỉ ra làm thế nào những người không thể hiểu bài diễn văn vì bị tổn thương não là có thể đánh giá chính xác sự trung thực
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10473837320520117918,clean,clean,substitution,bão,bảo,11,12,nga,hoi,bao,bao,bao,bao,true,false,tone_substitution,,,false,false,false,false,cơn bão được đặt tên thứ mười của mùa bão atlantic bão cận nhiệt đới jerry đã hình thành tại biển atlantic hôm nay,cơn bão được lọc tên thới mời của mùa bão alex tích bảo càng nhiệt đới cherry đã hình thành tại biển alex tuyến hôm nay
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10531082783264670622,clean,clean,substitution,sốc,sóc,0,0,sac,sac,sôc,soc,soc,soc,false,true,,vowel_quality_loss,ô→o,false,true,false,true,sốc tái hòa nhập xảy ra sớm hơn so với sốc văn hóa ít giai đoạn trăng mật hơn lâu hơn và có thể còn nghiêm trọng hơn,sóc tán hà nhập xảy ra sớm hơn so với sách văn hóa ít giai đoạn trăng mặt hơn lâu hơn và có thể còn nghiêm trọng hơn
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10531082783264670622,clean,clean,substitution,mật,mặt,17,17,nang,nang,mât,măt,mat,mat,false,true,,vowel_quality_substitution,â→ă,false,false,false,false,sốc tái hòa nhập xảy ra sớm hơn so với sốc văn hóa ít giai đoạn trăng mật hơn lâu hơn và có thể còn nghiêm trọng hơn,sóc tán hà nhập xảy ra sớm hơn so với sách văn hóa ít giai đoạn trăng mặt hơn lâu hơn và có thể còn nghiêm trọng hơn
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10631977326382455765,clean,clean,substitution,tuyên,tuyến,11,11,ngang,sac,tuyên,tuyên,tuyen,tuyen,true,false,tone_addition,,,false,false,false,false,cuối chủ nhật tổng thống hoa kỳ donald trump trong một tuyên bố đã gửi thông qua thư ký báo chí thông báo quân đội mỹ sẽ rút quân khỏi syria,cuối chủ nhật tổng thống hoa kỳ donald trump trong một tuyến bố đã gửi thông qua thư ký báo chí thông báo quân đội mỹ sẽ rút quân khỏi syria
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10751579734990864351,clean,clean,substitution,tĩnh,tỉnh,2,2,nga,hoi,tinh,tinh,tinh,tinh,true,false,tone_substitution,,,false,false,false,false,chiều cao tĩnh không dưới cầu là 15 mét việc xây dựng được hoàn thành vào tháng 8 năm 2011 nhưng đến tháng 3 năm 2017 cầu mới được khai thông,chiều cao tỉnh không dưới cầu là mười lăm mét việc xây dựng được hoàn thành vào tháng năm nay không mười một nhưng đến tháng ba năm hai không mười bảy cầu mới được khai thông
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10828838602453417649,clean,clean,substitution,trung,trùng,5,5,ngang,huyen,trung,trung,trung,trung,true,false,tone_addition,,,false,false,false,false,ngày nay những loại côn trung không thể gập cánh lại chỉ có chuồn chuồn và những con phù du,ngày nay những loại côn trùng không thể gặp khách lại chỉ có trường chùa và những con phù du
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10828838602453417649,clean,clean,substitution,gập,gặp,8,8,nang,nang,gâp,găp,gap,gap,false,true,,vowel_quality_substitution,â→ă,false,false,false,false,ngày nay những loại côn trung không thể gập cánh lại chỉ có chuồn chuồn và những con phù du,ngày nay những loại côn trùng không thể gặp khách lại chỉ có trường chùa và những con phù du
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10865708684535274985,clean,clean,deletion,của,,43,,hoi,,cua,,cua,,true,false,word_deletion,,,false,false,false,false,tác phẩm của ông có phẩm chất và chi tiết được tán dương đến mức ông là một trong số rất ít tên tuổi lớn nổi bật trong giới sưu tầm tem một số nhà sưu tập chỉ chuyên sưu tầm tác phẩm của ông,tác phẩm có ông có phẩm chất về chế tiết được tán dương đến mức ông là một trong số rất ít nên tôi lớn nổi bật trong giới siêu tầm tam một số nhà sưu tập chỉ chuyên siêu tầm tác phẩm không
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10934091967051776880,clean,clean,substitution,đạt,đặt,21,21,nang,nang,đat,đăt,dat,dat,false,true,,vowel_quality_addition,a→ă,false,false,false,false,del potro có ưu thế sớm trong set thứ hai tuy nhiên thời gian nghỉ giải lao khá ít sau khi đạt tỷ số 6-6,đeo bồ chồm cô tới sớm trong sáng thứ hai tuy nhiên thời gian nghỉ giải lao khá ít sau khi đặt tỉ số sáu sáu
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,11166288458925932654,clean,clean,deletion,nó,,9,,sac,,no,,no,,true,false,word_deletion,,,false,false,false,false,chúng ta không biết chắc chắn nhưng có thể nó có lưỡi chẻ thức ăn của nó bao gồm rùa cá lớn những con mosasaur khác và nó thậm chí có thể là thú ăn thịt,chúng ta không biết chắc chắn nhưng chúng ta có thể có lợi trẻ thích ăn của nó vào gồm rùa cá lớn những con mô sát sao khác và nó thậm chí có thể là thú ăn thịt
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,11294540912606279849,clean,clean,deletion,dân,,6,,ngang,,dân,,dan,,true,false,word_deletion,,,false,false,false,false,đảng cầm quyền tổ chức nhân dân tây nam phi swapo cũng giữ được thế đa số trong các cuộc bầu cử nghị viện,đảng cầm quyền tổ chức nguyên nhân tây nam phi s đức a bê ô cũng giới thiệu được thế đa số trong các cuộc bầu cử như viện
