metric_version,dataset,model,model_size,train_type,lambda,seed,utt_id,snr,noise_type,operation,ref_token,hyp_token,ref_index,hyp_index,ref_tone,hyp_tone,ref_tone_base,hyp_tone_base,ref_plain_base,hyp_plain_base,tone_error,diacritic_error,tone_primary_category,der_primary_category,quality_transitions,has_tone_loss,has_vowel_quality_loss,has_d_stroke_loss,missing_diacritic,ref,hyp
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,1015563747297542961,clean,clean,substitution,mọi,mỗi,0,0,nang,nga,moi,môi,moi,moi,false,true,,vowel_quality_addition,o→ô,false,false,false,false,mọi danh từ kế bên từ sie dành cho bạn luôn bắt đầu bằng một chữ viết hoa ngay cả khi ở giữa câu,mỗi danh từ kế bên từ xy dành cho bạn luôn bắt đầu bằng một chữ viết hoa ngay cả khi ở giữa câu
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10169179696365895477,clean,clean,substitution,hiên,hiện,27,32,ngang,nang,hiên,hiên,hien,hien,true,false,tone_addition,,,false,false,false,false,thông báo thông thường trong khu metro chỉ được phát bằng tiếng catalunya tuy nhiên với những sự cố bất ngờ thì thông báo sẽ được thực hiên qua hệ thống tự động bằng nhiều thứ tiếng gồm tiếng tây ban nha tiếng anh tiếng pháp tiếng ả rập và tiếng nhật,thông báo thông thường trong khu mê trô chỉ được phát bằng tiếng ca ta liu ni a tuy nhiên với những sự cố bất ngờ thì thông báo sẽ được thực hiện qua hệ thống tự động từng nhiều thứ tiếng dồn tướng tây ban nha tiếng anh tiếng pháp thiếng ả rập và tiếng nhật
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10188670312101823236,clean,clean,substitution,biên,biến,11,11,ngang,sac,biên,biên,bien,bien,true,false,tone_addition,,,false,false,false,false,hồ sơ theo vụ rò rỉ sẽ nhắc tới xung đột biên giới điều palestine muốn dựa trên đường biên giới trước cuộc chiến tranh trung đông 1967,hồ sơ theo dù gợi gửi sẽ nhắc tới xung đột biến giới đều bờ la ti nai múa dựa trên đường biến giới chứa cổ chiến tranh trung đông một nghìn chín trăm sám bảy
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10188670312101823236,clean,clean,substitution,biên,biến,19,22,ngang,sac,biên,biên,bien,bien,true,false,tone_addition,,,false,false,false,false,hồ sơ theo vụ rò rỉ sẽ nhắc tới xung đột biên giới điều palestine muốn dựa trên đường biên giới trước cuộc chiến tranh trung đông 1967,hồ sơ theo dù gợi gửi sẽ nhắc tới xung đột biến giới đều bờ la ti nai múa dựa trên đường biến giới chứa cổ chiến tranh trung đông một nghìn chín trăm sám bảy
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,1020360004532126324,clean,clean,substitution,cổ,cố,2,2,hoi,sac,cô,cô,co,co,true,false,tone_substitution,,,false,false,false,false,trung hoa cổ đại có một cách thức độc đáo để trình bày những niên đại khác nhau mỗi một giai đoạn của trung hoa hoặc mỗi một gia tộc từng nắm giữ quyền lực tương ứng với một triều đại khác nhau,trung hoa cố đại có một cách thức độc đáo để trình bày những niên đại khác nhau mỗi mùa giai đoạn của trung hoa ngoặc mỗi một giai đoạn từng nắm giữ quyền lực tương ứng với mùa trời đại khác nhau
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10259532564282505455,clean,clean,substitution,khóa,khoa,2,2,sac,ngang,khoa,khoa,khoa,khoa,true,false,tone_loss,,,true,false,false,true,tìm kiếm khóa học về môi trường thù địch trên internet có thể sẽ cung cấp cho bạn địa chỉ của một công ty địa phương,tìm kiếm khoa học về môi trường thù địch trên internet có thể sẽ cung cấp cho bạn địa chỉ của một công ty địa phương
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10402105561395439139,clean,clean,substitution,loài,loại,4,4,huyen,nang,loai,loai,loai,loai,true,false,tone_substitution,,,false,false,false,false,cuối cùng có nhiều loài mèo nhỏ gồm cả mèo nuôi trong nhà ăn những con mồi nhỏ có số lượng lớn như côn trùng các loài gặm nhấm thằn lằn và chim,cuối cùng có nhiều loại mèo nhỏ gồm cả mèo nuôi trong nhà ăn những con mồi nhỏ có số lượng lớn như công trùng các loài gặm nhấm thần lần và chim
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10402105561395439139,clean,clean,substitution,thằn,thần,29,29,huyen,huyen,thăn,thân,than,than,false,true,,vowel_quality_substitution,ă→â,false,false,false,false,cuối cùng có nhiều loài mèo nhỏ gồm cả mèo nuôi trong nhà ăn những con mồi nhỏ có số lượng lớn như côn trùng các loài gặm nhấm thằn lằn và chim,cuối cùng có nhiều loại mèo nhỏ gồm cả mèo nuôi trong nhà ăn những con mồi nhỏ có số lượng lớn như công trùng các loài gặm nhấm thần lần và chim
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10402105561395439139,clean,clean,substitution,lằn,lần,30,30,huyen,huyen,lăn,lân,lan,lan,false,true,,vowel_quality_substitution,ă→â,false,false,false,false,cuối cùng có nhiều loài mèo nhỏ gồm cả mèo nuôi trong nhà ăn những con mồi nhỏ có số lượng lớn như côn trùng các loài gặm nhấm thằn lằn và chim,cuối cùng có nhiều loại mèo nhỏ gồm cả mèo nuôi trong nhà ăn những con mồi nhỏ có số lượng lớn như công trùng các loài gặm nhấm thần lần và chim
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,10453290072265880595,clean,clean,deletion,của,,8,,hoi,,cua,,cua,,true,false,word_deletion,,,false,false,false,false,trong bài viết diễn văn của tổng thống của mình oliver sacks chỉ ra làm thế nào những người không thể hiểu bài diễn văn vì bị tổn thương não lại có thể đánh giá chính xác sự trung thực,trâm bài viết diễn văn của tổng thống mình oliver sắt chỉ ra làm thế nào những người không thể hiểu bài diễn văn vì bị tổn thương não là có thể đánh giá chính xác sự trung thực
