utt_id,audio,text,prediction,snr,noise_type,dataset
VIVOSDEV01_R002_snr20,data\noisy\test\VIVOSDEV01_R002_snr20.wav,tiếng cọc cạch khựng lại của những khớp sắt,tiếng cọc cực lại cổ ở những khớp sắt,20.0,free-sound,vivos
VIVOSDEV01_R002_snr10,data\noisy\test\VIVOSDEV01_R002_snr10.wav,tiếng cọc cạch khựng lại của những khớp sắt,tiếng cọc cận lại cổ ở những khớp sắt,10.0,free-sound,vivos
VIVOSDEV01_R002_snr5,data\noisy\test\VIVOSDEV01_R002_snr5.wav,tiếng cọc cạch khựng lại của những khớp sắt,tiếng cọc cận lại của những cốc sắc,5.0,free-sound,vivos
VIVOSDEV01_R002_snr0,data\noisy\test\VIVOSDEV01_R002_snr0.wav,tiếng cọc cạch khựng lại của những khớp sắt,tiếng cọc cực lại cổ ở những khớp sắt,0.0,free-sound,vivos
VIVOSDEV01_R003_snr20,data\noisy\test\VIVOSDEV01_R003_snr20.wav,cũng lên tiếng ủng hộ các kiến nghị này,cũng lên tiếng ủng hộ các ký nghỉ này,20.0,free-sound,vivos
VIVOSDEV01_R003_snr10,data\noisy\test\VIVOSDEV01_R003_snr10.wav,cũng lên tiếng ủng hộ các kiến nghị này,cũng lên tiếng ủng hộ các kiến nghị này,10.0,sound-bible,vivos
VIVOSDEV01_R003_snr5,data\noisy\test\VIVOSDEV01_R003_snr5.wav,cũng lên tiếng ủng hộ các kiến nghị này,cũng lên tiếng ủng hộ các kiến nghị này,5.0,free-sound,vivos
VIVOSDEV01_R003_snr0,data\noisy\test\VIVOSDEV01_R003_snr0.wav,cũng lên tiếng ủng hộ các kiến nghị này,cũng lên tiếng ủng hộ các ký nghị này,0.0,free-sound,vivos
VIVOSDEV01_R012_snr20,data\noisy\test\VIVOSDEV01_R012_snr20.wav,những cơn gió mạnh và mưa đóng băng gây trơn trợt,những cơn gió mạnh và mưa đóng băng ghi trơn trợt,20.0,free-sound,vivos
VIVOSDEV01_R012_snr10,data\noisy\test\VIVOSDEV01_R012_snr10.wav,những cơn gió mạnh và mưa đóng băng gây trơn trợt,những cơn gió mạnh và mưa đóng băng ghi trơn trợt,10.0,free-sound,vivos
VIVOSDEV01_R012_snr5,data\noisy\test\VIVOSDEV01_R012_snr5.wav,những cơn gió mạnh và mưa đóng băng gây trơn trợt,những cơn gió mạnh và mưa đóng băng gây trơn trợt,5.0,free-sound,vivos
VIVOSDEV01_R012_snr0,data\noisy\test\VIVOSDEV01_R012_snr0.wav,những cơn gió mạnh và mưa đóng băng gây trơn trợt,những cơn gió mạnh và mưa đóng băng đi trơn trợn,0.0,free-sound,vivos
VIVOSDEV01_R027_snr20,data\noisy\test\VIVOSDEV01_R027_snr20.wav,di tích có bảy phỗng ông và hai phỗng bà được làm bằng gỗ mít,di tích có bảy phổng ông và hai phổng bà được làm bằng gỗ mít,20.0,free-sound,vivos
VIVOSDEV01_R027_snr10,data\noisy\test\VIVOSDEV01_R027_snr10.wav,di tích có bảy phỗng ông và hai phỗng bà được làm bằng gỗ mít,di tích có bảy phỗng ông và hai phỗng bà được làm bằng gỗ mít,10.0,free-sound,vivos
VIVOSDEV01_R027_snr5,data\noisy\test\VIVOSDEV01_R027_snr5.wav,di tích có bảy phỗng ông và hai phỗng bà được làm bằng gỗ mít,di tích có bảy phỏng ông và hai phỏng bò được làm bằng gỗ mích,5.0,free-sound,vivos
VIVOSDEV01_R027_snr0,data\noisy\test\VIVOSDEV01_R027_snr0.wav,di tích có bảy phỗng ông và hai phỗng bà được làm bằng gỗ mít,di tích có bảy phỏng ông và hai phỏng bò được làm bằng gỗ mít,0.0,free-sound,vivos
VIVOSDEV01_R028_snr20,data\noisy\test\VIVOSDEV01_R028_snr20.wav,các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ,các chú cũng thoải mái phóng ối giữa chốn đông người mà không sợ,20.0,free-sound,vivos
VIVOSDEV01_R028_snr10,data\noisy\test\VIVOSDEV01_R028_snr10.wav,các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ,các chú cũng thoải mái phóng ới giữa chốn đông người mà không sợ,10.0,free-sound,vivos
VIVOSDEV01_R028_snr5,data\noisy\test\VIVOSDEV01_R028_snr5.wav,các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ,các chú cũng thoải mái phóng ối giữa chốn đông người mà không sợ,5.0,free-sound,vivos
VIVOSDEV01_R028_snr0,data\noisy\test\VIVOSDEV01_R028_snr0.wav,các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ,các chú cũng thoải mái phóng ối giữa chú đông người mà không sợ,0.0,free-sound,vivos
VIVOSDEV01_R034_snr20,data\noisy\test\VIVOSDEV01_R034_snr20.wav,người ta nói,người ta nói,20.0,free-sound,vivos
