metric_version,dataset,model,model_size,train_type,lambda,seed,utt_id,snr,noise_type,low_snr_scope,deleted_word,ref_index,context_window,left_context,right_context,context,ref,hyp
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV14_140_snr5,5,music,true,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật kỳ đắc
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV16_058_snr0,0,speech,true,và,4,3,tư tiêu dùng,xuất khẩu đều,tư tiêu dùng ⟦và⟧ xuất khẩu đều,ĐẦU TƯ TIÊU DÙNG VÀ XUẤT KHẨU ĐỀU SẼ TĂNG MẠNH,đầu tư tiêu dùng hạt hữu đều sẽ tăng mạnh
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,VIVOSDEV14_140_snr5,5,music,true,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật kỳ đắc
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,VIVOSDEV16_058_snr0,0,speech,true,và,4,3,tư tiêu dùng,xuất khẩu đều,tư tiêu dùng ⟦và⟧ xuất khẩu đều,ĐẦU TƯ TIÊU DÙNG VÀ XUẤT KHẨU ĐỀU SẼ TĂNG MẠNH,đầu tư tiêu dùng hạt hữu đều thấy tăng mạnh
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,VIVOSDEV14_140_snr5,5,music,true,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật kỳ đắc
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,VIVOSDEV16_058_snr0,0,speech,true,và,4,3,tư tiêu dùng,xuất khẩu đều,tư tiêu dùng ⟦và⟧ xuất khẩu đều,ĐẦU TƯ TIÊU DÙNG VÀ XUẤT KHẨU ĐỀU SẼ TĂNG MẠNH,đầu tư tiêu dùng hạt hữu đều thấy tăng mạnh
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.3,42,VIVOSDEV14_140_snr5,5,music,true,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật kỳ đắp
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.3,42,VIVOSDEV16_058_snr0,0,speech,true,và,4,3,tư tiêu dùng,xuất khẩu đều,tư tiêu dùng ⟦và⟧ xuất khẩu đều,ĐẦU TƯ TIÊU DÙNG VÀ XUẤT KHẨU ĐỀU SẼ TĂNG MẠNH,đầu tư tiêu dùng hạt hủ đều thấy tăng mạnh
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.5,42,VIVOSDEV16_058_snr0,0,speech,true,và,4,3,tư tiêu dùng,xuất khẩu đều,tư tiêu dùng ⟦và⟧ xuất khẩu đều,ĐẦU TƯ TIÊU DÙNG VÀ XUẤT KHẨU ĐỀU SẼ TĂNG MẠNH,đầu tư tiêu dùng hạt hủ đều thấy tăng mạnh
aligned_v1,vivos,phowhisper,base,zero_shot,,42,VIVOSDEV14_140_snr20,20,noise,false,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật kỳ đắc.
aligned_v1,vivos,phowhisper,base,zero_shot,,42,VIVOSDEV14_140_snr5,5,music,true,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật kỳ đắc.
aligned_v1,vivos,phowhisper,base,zero_shot,,42,VIVOSDEV16_058_snr0,0,speech,true,và,4,3,tư tiêu dùng,xuất khẩu đều,tư tiêu dùng ⟦và⟧ xuất khẩu đều,ĐẦU TƯ TIÊU DÙNG VÀ XUẤT KHẨU ĐỀU SẼ TĂNG MẠNH,đầu tư tiêu dùng hạt hữu đều sẽ tăng mạnh.
aligned_v1,vivos,phowhisper,tiny,zero_shot,,42,VIVOSDEV14_140_snr0,0,noise,true,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật thì đắt.
aligned_v1,vivos,phowhisper,tiny,zero_shot,,42,VIVOSDEV14_140_snr10,10,music,false,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật kỳ đất.
aligned_v1,vivos,phowhisper,tiny,zero_shot,,42,VIVOSDEV14_140_snr20,20,noise,false,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vật cây đắp.
aligned_v1,vivos,phowhisper,tiny,zero_shot,,42,VIVOSDEV14_140_snr5,5,music,true,và,10,3,của pháp hiếm,cực kỳ đắt,của pháp hiếm ⟦và⟧ cực kỳ đắt,CÓ NHƯNG PHẢI LÀ THUỐC ĐẶC TRỊ CỦA PHÁP HIẾM VÀ CỰC KỲ ĐẮT,có nhưng phải là thuốc đặc trị của pháp hiếm vực thì đắc.
