metric_version,dataset,model,model_size,train_type,lambda,seed,utt_id,snr,noise_type,low_snr_scope,deleted_word,ref_index,context_window,left_context,right_context,context,ref,hyp
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV05_004_clean,clean,clean,false,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV05_004_snr0,0,speech,true,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tin tưởng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV05_004_snr10,10,noise,false,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV05_004_snr20,20,noise,false,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,VIVOSDEV05_004_snr5,5,noise,true,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,VIVOSDEV05_004_clean,clean,clean,false,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,VIVOSDEV05_004_snr0,0,speech,true,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tin tưởng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,VIVOSDEV05_004_snr10,10,noise,false,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,VIVOSDEV05_004_snr20,20,noise,false,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,VIVOSDEV05_004_snr5,5,noise,true,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,VIVOSDEV05_004_clean,clean,clean,false,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,VIVOSDEV05_004_snr0,0,speech,true,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tin tưởng rằng bạn là giám đốc dự án trong một công ty lớn
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.1,42,VIVOSDEV05_004_snr10,10,noise,false,là,5,3,tượng rằng bạn,là giám đốc,tượng rằng bạn ⟦là⟧ là giám đốc,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn
