utt_id,audio,text,prediction,snr,noise_type,dataset
VIVOSDEV01_R002_snr20,data\noisy\test\VIVOSDEV01_R002_snr20.wav,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT," Tiến cộp cận, cứng lại có những cấp sắc.",20.0,free-sound,vivos
VIVOSDEV01_R002_snr10,data\noisy\test\VIVOSDEV01_R002_snr10.wav,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT, Tuyến cậu cận cựng lại có những cậu sắc.,10.0,free-sound,vivos
VIVOSDEV01_R002_snr5,data\noisy\test\VIVOSDEV01_R002_snr5.wav,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT," Tiến cậu cắt, thần lại có những cấp sắc.",5.0,free-sound,vivos
VIVOSDEV01_R002_snr0,data\noisy\test\VIVOSDEV01_R002_snr0.wav,TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT," Tuyến cậu cận, cứng lại có ở những cấp sắc.",0.0,free-sound,vivos
VIVOSDEV01_R003_snr20,data\noisy\test\VIVOSDEV01_R003_snr20.wav,CŨNG LÊN TIẾNG ỦNG HỘ CÁC KIẾN NGHỊ NÀY, Cùng lên tiếng ủng hộ các kí nghỉ này.,20.0,free-sound,vivos
VIVOSDEV01_R003_snr10,data\noisy\test\VIVOSDEV01_R003_snr10.wav,CŨNG LÊN TIẾNG ỦNG HỘ CÁC KIẾN NGHỊ NÀY, Cũng lên tiếng ủng hộ các kí ngày này.,10.0,sound-bible,vivos
VIVOSDEV01_R003_snr5,data\noisy\test\VIVOSDEV01_R003_snr5.wav,CŨNG LÊN TIẾNG ỦNG HỘ CÁC KIẾN NGHỊ NÀY, cũng lơm tiếng ủng hộ các kí nghỉ này,5.0,free-sound,vivos
VIVOSDEV01_R003_snr0,data\noisy\test\VIVOSDEV01_R003_snr0.wav,CŨNG LÊN TIẾNG ỦNG HỘ CÁC KIẾN NGHỊ NÀY, cũng lên tiếng ổng hộ các kí nghỉ này,0.0,free-sound,vivos
VIVOSDEV01_R012_snr20,data\noisy\test\VIVOSDEV01_R012_snr20.wav,NHỮNG CƠN GIÓ MẠNH VÀ MƯA ĐÓNG BĂNG GÂY TRƠN TRỢT, Những cơn gió mạnh và mưa đóng băng gây chân trợ.,20.0,free-sound,vivos
VIVOSDEV01_R012_snr10,data\noisy\test\VIVOSDEV01_R012_snr10.wav,NHỮNG CƠN GIÓ MẠNH VÀ MƯA ĐÓNG BĂNG GÂY TRƠN TRỢT, Những cơn gió mạnh và mưa đóng băng gây chân trận.,10.0,free-sound,vivos
VIVOSDEV01_R012_snr5,data\noisy\test\VIVOSDEV01_R012_snr5.wav,NHỮNG CƠN GIÓ MẠNH VÀ MƯA ĐÓNG BĂNG GÂY TRƠN TRỢT, Những cơn gió mạnh và mưa đóng băng gây chân chờ,5.0,free-sound,vivos
VIVOSDEV01_R012_snr0,data\noisy\test\VIVOSDEV01_R012_snr0.wav,NHỮNG CƠN GIÓ MẠNH VÀ MƯA ĐÓNG BĂNG GÂY TRƠN TRỢT, Những cơn gió mạnh và mưa đóng bằng đi chân trợ,0.0,free-sound,vivos
VIVOSDEV01_R027_snr20,data\noisy\test\VIVOSDEV01_R027_snr20.wav,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT, dì tích có 7 phẩm ông và 2 phẩm 3 được làm bằng ngộ mất,20.0,free-sound,vivos
VIVOSDEV01_R027_snr10,data\noisy\test\VIVOSDEV01_R027_snr10.wav,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT, dì tích có 7 phẩm ông và 2 phẩm 3 được làm bằng lộm mất,10.0,free-sound,vivos
VIVOSDEV01_R027_snr5,data\noisy\test\VIVOSDEV01_R027_snr5.wav,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT, Vì cách có 7 phổng ông và 2 phổng bà được làm bằng gồm mất,5.0,free-sound,vivos
VIVOSDEV01_R027_snr0,data\noisy\test\VIVOSDEV01_R027_snr0.wav,DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT, dì tất cả 7 phẩm ông và 2 phẩm và được làm bằng ngộ mất,0.0,free-sound,vivos
VIVOSDEV01_R028_snr20,data\noisy\test\VIVOSDEV01_R028_snr20.wav,CÁC CHÚ CŨNG THOẢI MÁI PHÓNG UẾ GIỮA CHỐN ĐÔNG NGƯỜI MÀ KHÔNG SỢ, Các chú cũng hỏi máy phong oé dưới chú đông người mà không xợ.,20.0,free-sound,vivos
VIVOSDEV01_R028_snr10,data\noisy\test\VIVOSDEV01_R028_snr10.wav,CÁC CHÚ CŨNG THOẢI MÁI PHÓNG UẾ GIỮA CHỐN ĐÔNG NGƯỜI MÀ KHÔNG SỢ, Các chú cũng hỏi máy phong ở dưới chú đông người mà không xợ.,10.0,free-sound,vivos
VIVOSDEV01_R028_snr5,data\noisy\test\VIVOSDEV01_R028_snr5.wav,CÁC CHÚ CŨNG THOẢI MÁI PHÓNG UẾ GIỮA CHỐN ĐÔNG NGƯỜI MÀ KHÔNG SỢ, Các chú cũng hỏi máy phong ở dưới chỗ đông người mà không sợ.,5.0,free-sound,vivos
VIVOSDEV01_R028_snr0,data\noisy\test\VIVOSDEV01_R028_snr0.wav,CÁC CHÚ CŨNG THOẢI MÁI PHÓNG UẾ GIỮA CHỐN ĐÔNG NGƯỜI MÀ KHÔNG SỢ, Các tứ cũng hỏi máy phong hơi dựa chỗ nông người mà không sợ.,0.0,free-sound,vivos
VIVOSDEV01_R034_snr20,data\noisy\test\VIVOSDEV01_R034_snr20.wav,NGƯỜI TA NÓI, Người ta nói,20.0,free-sound,vivos
VIVOSDEV01_R034_snr10,data\noisy\test\VIVOSDEV01_R034_snr10.wav,NGƯỜI TA NÓI, Người ta nói,10.0,free-sound,vivos
VIVOSDEV01_R034_snr5,data\noisy\test\VIVOSDEV01_R034_snr5.wav,NGƯỜI TA NÓI, người ta nói,5.0,free-sound,vivos
VIVOSDEV01_R034_snr0,data\noisy\test\VIVOSDEV01_R034_snr0.wav,NGƯỜI TA NÓI, Người ta nói,0.0,free-sound,vivos
VIVOSDEV01_R043_snr20,data\noisy\test\VIVOSDEV01_R043_snr20.wav,ANH PHÚ CHƯA BÚ ĐƯỢC SỮA MẸ LẦN NÀO, Anh phú chưa bú được sữa mẹ lần nào.,20.0,free-sound,vivos
VIVOSDEV01_R043_snr10,data\noisy\test\VIVOSDEV01_R043_snr10.wav,ANH PHÚ CHƯA BÚ ĐƯỢC SỮA MẸ LẦN NÀO, Anh phú chưa bú được sữa mẹ lần nào.,10.0,free-sound,vivos
VIVOSDEV01_R043_snr5,data\noisy\test\VIVOSDEV01_R043_snr5.wav,ANH PHÚ CHƯA BÚ ĐƯỢC SỮA MẸ LẦN NÀO, Anh phú chưa bố được sữa mẹ lần nào?,5.0,free-sound,vivos
